filename,activity_name,location,reference_product,reference_product_unit,traci_acidification,traci_climate_change,traci_ecotoxicity_freshwater,traci_eutrophication,traci_human_toxicity_carcinogenic,traci_human_toxicity_non-carcinogenic,traci_ozone_depletion,traci_particulate_matter_formation,traci_photochemical_oxidant_formation,traci_units,cost_per_unit,cost_source
82ff406b-c227-500b-9d5f-c07b16b53118_9b9edcf3-0539-4642-9516-0df642a5c41a.spold,"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop",PH,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",kg,0.008926933974633663,22.41133066919952,1.0768586717430522,0.00040654243458342065,7.313731906733881e-8,8.480114002993072e-9,3.310604792697831e-9,0.034070897113934275,0.26155642167614673,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8307a4bb-e88a-5dc4-89b5-3061801a3ae5_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold,"clear-cutting, grassland to arable land, pasture, man made",BR-MA,"land tenure, arable land, measured as carbon net primary productivity, pasture, man made",kg,0.0,9.141719409279974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8309794a-aa54-5fdb-ab24-ca794e9bcfb2_66c93e71-f32b-4591-901c-55395db5c132.spold,"heat and power co-generation, oil",TW,"electricity, high voltage",kWh,0.008244057372248476,1.6949742659524114,1.5300484355637,0.0004997960908449677,7.391649609632828e-8,2.5303373086192023e-8,2.1218007650473672e-8,0.0003439805717496891,0.08174150213376771,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
8309794a-aa54-5fdb-ab24-ca794e9bcfb2_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,"heat and power co-generation, oil",TW,"heat, district or industrial, other than natural gas",MJ,0.0007267437200464119,0.03996416683598901,0.08500496266999158,2.2292250889538873e-5,2.6713767046324858e-9,2.1357616189356765e-9,1.1680324435933328e-9,5.200302838314867e-5,0.00631538201544622,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
830b11d0-6509-5e94-b5fb-1b9fc1ee3bcb_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold,"treatment of sewage sludge, 70% water, WWT-SLF, refinery sludge, municipal incineration",Europe without Switzerland,"heat, for reuse in municipal waste incineration only",MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
830b11d0-6509-5e94-b5fb-1b9fc1ee3bcb_637ee275-a239-4dcb-b084-abfa110dd65b.spold,"treatment of sewage sludge, 70% water, WWT-SLF, refinery sludge, municipal incineration",Europe without Switzerland,"electricity, for reuse in municipal waste incineration only",kWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
830b11d0-6509-5e94-b5fb-1b9fc1ee3bcb_a0b45a9e-a4e9-4f99-9a03-cb643a932d80.spold,"treatment of sewage sludge, 70% water, WWT-SLF, refinery sludge, municipal incineration",Europe without Switzerland,"sewage sludge, 70% water, WWT-SLF, refinery sludge",kg,0.0008141660182360111,0.4097098182471541,29.381566185368296,0.000658414657516489,3.977107812592757e-8,2.2046182532216813e-6,2.2798473624973364e-9,2.1229583134451062e-5,0.022671290909836238,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
830d5e0f-e2af-5549-94dc-fcfbbef438aa_66c93e71-f32b-4591-901c-55395db5c132.spold,"electricity production, nuclear, pressure water reactor",CN-HA,"electricity, high voltage",kWh,4.5505077010066786e-5,0.008017409491282237,0.8666415275623881,9.96111290833608e-5,1.0691565233907284e-8,2.929871910320609e-8,5.3635190085988543e-11,2.3668474316011873e-5,0.0005722192173465828,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
83107886-9eee-5ef4-a14e-e2bd4ecf0864_66c93e71-f32b-4591-901c-55395db5c132.spold,"electricity, high voltage, import from CA-NB",CA-PE,"electricity, high voltage",kWh,0.0021742006056681123,0.3259449807138106,2.1977151206445047,0.0029296817600093657,4.1538600203207794e-8,1.6198464854694415e-7,1.8636700189600827e-9,0.0017073707399359664,0.021448969527336187,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
83150e58-0eea-571c-92bd-f12eca0da0f8_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold,"market for land tenure, arable land, measured as carbon net primary productivity, forest, intensive",BR-PA,"land tenure, arable land, measured as carbon net primary productivity, forest, intensive",kg,0.04376182041762965,60.512086596541316,1.8742397993402289,0.00260642553680789,1.0633803200421013e-7,3.744323702759262e-8,3.534210736712802e-9,0.15154817937214995,2.1398013464269785,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
831f12e7-dbe6-57ff-b991-f1d08a2967f2_27da8130-82ba-485c-a800-b89efdcb0491.spold,"treatment of municipal solid waste, municipal incineration, without energy recovery",RO,municipal solid waste,kg,0.0004530311364966327,0.759594304971925,171.7188596394678,0.004915504476029626,9.114661938357077e-8,1.9194749568011485e-6,1.190527375324822e-9,1.840947648066037e-5,0.017521167519418335,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
831f7aa6-c75b-55cc-a91f-cfcb37aa06fc_7e04560f-3d56-57a7-9a92-04237f3014c9.spold,NPK (26-15-15) fertiliser production,RNA,NPK (26-15-15) fertiliser,kg,0.0043545463355908415,2.152024253578524,26.053969988630172,0.002330079323517883,5.87792389273418e-7,4.4689048550155453e-7,1.9515678616886923e-8,0.0005946165057389976,0.10347386856743833,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
