filename,activity_name,location,reference_product,reference_product_unit,traci_acidification,traci_climate_change,traci_ecotoxicity_freshwater,traci_eutrophication,traci_human_toxicity_carcinogenic,traci_human_toxicity_non-carcinogenic,traci_ozone_depletion,traci_particulate_matter_formation,traci_photochemical_oxidant_formation,traci_units,cost_per_unit,cost_source
greet2_2025_steel_final_galvanized_steel_product_combined_us_r134_cm_full_technosphere,"steel, galvanized",US,"steel, galvanized",kg,0.013969,2.79725,0,0.000154559,0,0,0,0.00186039,0.0993664,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_steel_silicon_steel_hot_rolled_us_r425_cg_full_technosphere,"silicon (electrical) steel, hot rolled",US,silicon steel,kg,0.00955482,2.10847,0,0.000116836,0,0,0,0.00182141,0.0752784,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_steel_steel_production_from_dri_100_ng_100_dri_and_0_scrap_us_r425_cn_full_technosphere,"steel, natural-gas DRI-EAF (100% DRI)",US,steel,kg,0.00162979,1.53824,0,8.88372e-05,0,0,0,0.000167037,0.0511201,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_steel_steel_production_from_dri_83_h2_100_dri_and_0_scrap_us_r425_cp_full_technosphere,"steel, hydrogen DRI-EAF (83% H2, 100% DRI)",US,steel,kg,0.0010428,0.934503,0,5.17346e-05,0,0,0,0.00011795,0.0296797,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_nuclear_power_titanium_us_r85_cq_full_technosphere,"titanium, forged",US,titanium,kg,0.0788549,51.8389,0,0.00236794,0,0,0,0.00722593,1.35513,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_electrolyzers_titanium_grade_2_us_r203_cat_full_technosphere,titanium sponge (grade 2),US,titanium sponge,kg,0.0681761,44.8192,0,0.00203408,0,0,0,0.00629118,1.16408,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_electrolyzers_titanium_powder_us_r203_cal_full_technosphere,titanium powder,US,titanium powder,kg,0.0886523,59.1592,0,0.00268598,0,0,0,0.00817386,1.53773,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_titanium_tio2_production_cradle_to_gate_us_r228_cbd_full_technosphere,titanium dioxide (TiO2),US,titanium dioxide,kg,0.03259,20.9339,0,0.00095491,0,0,0,0.00279112,0.546301,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_magnesium_virgin_magnesium_final_magnesium_product_combined_us_r69_cg_full_technosphere,"magnesium, virgin",US,magnesium,kg,0.0134574,14.7114,0,0.000672102,0,0,0,0.00128996,0.388032,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_magnesium_recycled_magnesium_final_magnesium_product_combined_us_r69_ci_full_technosphere,"magnesium, recycled",US,"magnesium, recycled",kg,0.000830167,0.808274,0,4.19328e-05,0,0,0,7.85632e-05,0.0242174,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_zinc_final_zinc_product_combined_us_r71_ce_full_technosphere,zinc,US,zinc,kg,0.00227696,2.10351,0,8.81591e-05,0,0,0,0.00142677,0.0508224,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_zinc_final_zinc_oxide_product_combined_us_r71_cg_full_technosphere,zinc oxide (ZnO),US,zinc oxide,kg,0.00719241,5.41687,0,0.000230964,0,0,0,0.00191211,0.131608,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_lead_final_virgin_lead_product_combined_us_r59_ce_full_technosphere,"lead, virgin",US,lead,kg,0.028028,0.581214,0,4.28397e-05,0,0,0,0.00491209,0.0292172,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_lead_final_recycled_lead_product_combined_us_r59_cg_full_technosphere,"lead, recycled",US,"lead, recycled",kg,0.00492971,0.437011,0,2.33117e-05,0,0,0,0.000308497,0.0131815,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_molybdenum_molybdenum_us_r66_cf_full_technosphere,molybdenum,US,molybdenum,kg,0.0259394,22.7246,0,0.0015269,0,0,0,0.00283947,0.872066,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_zirconium_final_virgin_zirconium_product_combined_us_r58_ce_full_technosphere,"zirconium, virgin",US,zirconium,kg,0.0108726,10.6971,0,0.000575242,0,0,0,0.00101113,0.332262,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_electrolyzers_zirconia_zirconium_oxide_us_r203_cbm_full_technosphere,zirconia (ZrO2),US,zirconia,kg,0.00190119,1.55921,0,8.35446e-05,0,0,0,0.000190211,0.0480222,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_electrolyzers_tin_us_r203_cdl_full_technosphere,tin,US,tin,kg,0.0266894,9.4379,0,0.000569702,0,0,0,0.00201733,0.323578,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_nuclear_power_silver_us_r85_ck_full_technosphere,silver,US,silver,kg,0.124292,88.5742,0,0.00432247,0,0,0,0.0128122,2.47705,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_rare_earth_neodymium_us_rare_earth_b11_1_r163_cbc_full_technosphere,neodymium metal,US,neodymium,kg,0.0547687,26.1864,0,0.00100521,0,0,0,0.0235124,0.595675,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_rare_earth_neodymium_oxide_us_rare_earth_b6_1_r163_cam_full_technosphere,neodymium oxide (Nd2O3),US,neodymium oxide,kg,0.0433616,20.2875,0,0.000785139,0,0,0,0.0170098,0.466038,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_rare_earth_dysprosium_oxide_us_rare_earth_b6_1_r163_cao_full_technosphere,dysprosium oxide (Dy2O3),US,dysprosium oxide,kg,0.0433616,20.2875,0,0.000785139,0,0,0,0.0170098,0.466038,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_rare_earth_nd_dy_feb_magnet_us_r198_cct_full_technosphere,NdFeB permanent magnet (Nd(Dy)FeB),US,NdFeB magnet,kg,0.0459044,25.1049,0,0.000943465,0,0,0,0.011536,0.554668,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pp_resin_us_r104_cn_full_technosphere,polypropylene (PP) resin,US,polypropylene,kg,0.00113962,0.932323,0,6.10176e-05,0,0,0,0.000113703,0.0361582,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_battery_sum_plastic_polypropylene_us_r572_ck_full_technosphere,"polypropylene (PP), GREET battery-model value",US,polypropylene,kg,0.00163397,1.37827,0,8.23783e-05,0,0,0,0.00016453,0.048582,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_hdpe_resin_us_r104_cg_full_technosphere,high-density polyethylene (HDPE) resin,US,"polyethylene, high density",kg,0.00183019,1.04122,0,0.000109464,0,0,0,0.000125197,0.0650149,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_battery_sum_plastic_polyethylene_us_r572_cl_full_technosphere,"polyethylene (PE), GREET battery-model value",US,polyethylene,kg,0.00249449,1.65773,0,0.000135779,0,0,0,0.000194383,0.0801978,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_ldpe_resin_us_r104_ch_full_technosphere,low-density polyethylene (LDPE) resin,US,"polyethylene, low density",kg,0.00213024,1.31589,0,0.000124614,0,0,0,0.000153375,0.073787,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_lldpe_resin_us_r104_ci_full_technosphere,linear low-density polyethylene (LLDPE) resin,US,"polyethylene, linear low density",kg,0.0237643,1.6102,0,0.000142516,0,0,0,0.00145754,0.0857536,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pet_resin_us_r104_cm_full_technosphere,polyethylene terephthalate (PET) resin,US,polyethylene terephthalate,kg,0.00173153,1.44037,0,9.24807e-05,0,0,0,0.000150779,0.0556319,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_battery_sum_plastic_polyethylene_terephthalate_us_r572_cn_full_technosphere,"polyethylene terephthalate (PET), GREET battery-model value",US,polyethylene terephthalate,kg,0.00227533,1.94387,0,0.000118251,0,0,0,0.000203104,0.0706665,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pvc_resin_us_r104_cq_full_technosphere,polyvinyl chloride (PVC) resin,US,polyvinyl chloride,kg,0.0120326,1.79878,0,0.000125262,0,0,0,0.000766932,0.0738773,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_nylon_6_resin_us_r104_cj_full_technosphere,nylon 6 (polyamide 6) resin,US,nylon 6,kg,0.0123944,7.82197,0,0.000635112,0,0,0,0.000840229,0.360463,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_nylon_66_resin_us_r104_ck_full_technosphere,nylon 66 (polyamide 66) resin,US,nylon 66,kg,0.00817299,5.55057,0,0.000379594,0,0,0,0.000855482,0.217641,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_pc_resin_us_r104_cl_full_technosphere,polycarbonate (PC) resin,US,polycarbonate,kg,0.00502614,3.63582,0,0.000226884,0,0,0,0.000524749,0.130511,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_abs_resin_us_r104_cb_full_technosphere,acrylonitrile butadiene styrene (ABS) resin,US,ABS,kg,0.0194031,2.72782,0,0.000210042,0,0,0,0.00122096,0.123342,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
greet2_2025_vehi_plastics_gpps_resin_us_r104_ce_full_technosphere,general-purpose polystyrene (GPPS) resin,US,polystyrene,kg,0.0153738,2.52131,0,0.000172493,0,0,0,0.000993567,0.101595,kg SO2-Eq;kg CO2-Eq;CTUe;kg N-Eq;CTUh;CTUh;kg CFC-11-Eq;kg PM2.5-Eq;kg O3-Eq,,
